estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
0,576,8,"(100000,)","(8,)",12500,4.680746281774436,2.8991103841577397,Compute
1,576,8,"(100000, 818)","(1, 8)",10300000,4.685675379339222,2.8960606641541715,Compute
2,576,8,"(100000,)","(16,)",12500,4.680746281774436,2.8991103841577397,Compute
3,576,8,"(100000, 818)","(1, 16)",10300000,4.685675379339222,2.8960606641541715,Compute
4,576,8,"(100000,)","(32,)",12500,4.680746281774436,2.8991103841577397,Compute
5,576,8,"(100000, 818)","(1, 32)",10300000,4.685675379339222,2.8960606641541715,Compute
6,576,8,"(100000,)","(64,)",12500,4.680746281774436,2.8991103841577397,Compute
7,576,8,"(100000, 818)","(1, 64)",10300000,4.685675379339222,2.8960606641541715,Compute
8,576,8,"(100000,)","(128,)",12500,4.680746281774436,2.8991103841577397,Compute
9,576,8,"(100000, 818)","(1, 128)",10300000,4.685675379339222,2.8960606641541715,Compute
10,576,8,"(100000,)","(256,)",12500,4.680746281774436,2.8991103841577397,Compute
11,576,8,"(100000, 818)","(1, 256)",10300000,4.685675379339222,2.8960606641541715,Compute
12,576,8,"(100000, 818)","(2, 4)",10250000,4.685431236982284,2.896211568316589,Compute
13,576,8,"(100000, 818)","(2, 8)",10250000,4.685431236982284,2.896211568316589,Compute
14,576,8,"(100000, 818)","(2, 16)",10250000,4.685431236982284,2.896211568316589,Compute
15,576,8,"(100000, 818)","(2, 32)",10250000,4.685431236982284,2.896211568316589,Compute
16,576,8,"(100000, 818)","(2, 64)",10250000,4.685431236982284,2.896211568316589,Compute
17,576,8,"(100000, 818)","(2, 128)",10250000,4.685431236982284,2.896211568316589,Compute
18,576,8,"(100000, 818)","(4, 2)",10225000,4.685309123531088,2.8962870524267466,Compute
19,576,8,"(100000, 818)","(4, 4)",10225000,4.685309123531088,2.8962870524267466,Compute
20,576,8,"(100000, 818)","(4, 8)",10225000,4.685309123531088,2.8962870524267466,Compute
21,576,8,"(100000, 818)","(4, 16)",10225000,4.685309123531088,2.8962870524267466,Compute
22,576,8,"(100000, 818)","(4, 32)",10225000,4.685309123531088,2.8962870524267466,Compute
23,576,8,"(100000, 818)","(4, 64)",10225000,4.685309123531088,2.8962870524267466,Compute
24,576,8,"(100000, 818)","(8, 1)",10225000,4.685309123531088,2.8962870524267466,Compute
25,576,8,"(100000, 818)","(8, 2)",10225000,4.685309123531088,2.8962870524267466,Compute
26,576,8,"(100000, 818)","(8, 4)",10225000,4.685309123531088,2.8962870524267466,Compute
27,576,8,"(100000, 818)","(8, 8)",10225000,4.685309123531088,2.8962870524267466,Compute
28,576,8,"(100000, 818)","(8, 16)",10225000,4.685309123531088,2.8962870524267466,Compute
29,576,8,"(100000, 818)","(8, 32)",10225000,4.685309123531088,2.8962870524267466,Compute
30,576,8,"(100000, 818)","(16, 1)",10225000,4.685309123531088,2.8962870524267466,Compute
31,576,8,"(100000, 818)","(16, 2)",10225000,4.685309123531088,2.8962870524267466,Compute
32,576,8,"(100000, 818)","(16, 4)",10225000,4.685309123531088,2.8962870524267466,Compute
33,576,8,"(100000, 818)","(16, 8)",10225000,4.685309123531088,2.8962870524267466,Compute
34,576,8,"(100000, 818)","(16, 16)",10225000,4.685309123531088,2.8962870524267466,Compute
35,576,8,"(100000, 818)","(32, 1)",10225000,4.685309123531088,2.8962870524267466,Compute
36,576,8,"(100000, 818)","(32, 2)",10225000,4.685309123531088,2.8962870524267466,Compute
37,576,8,"(100000, 818)","(32, 4)",10225000,4.685309123531088,2.8962870524267466,Compute
38,576,8,"(100000, 818)","(32, 8)",10225000,4.685309123531088,2.8962870524267466,Compute
39,576,8,"(100000, 818)","(64, 1)",10225000,4.685309123531088,2.8962870524267466,Compute
40,576,8,"(100000, 818)","(64, 2)",10225000,4.685309123531088,2.8962870524267466,Compute
