estimation_id,index,parent_index,baseline_device_type,baseline_device_idx,cli_loop_id,source_location,offload_index,offload_head,location,module,node_type,offload_elapsed_time_for_summary,offload_elapsed_time,total_time_in_hierarchy,total_time_in_hierarchy_percent,app_time,total_time_per_largest_thread,self_time_per_largest_thread,dependency_type,baseline_global_size,baseline_local_size,exe_target,why_not_offloaded,offload_device_type,offload_device_idx,offload_head_type,speed_up,offload_bounded_by,max_speed_up,offloaded_rank,non_offloaded_rank,total_est_time_accel_seconds,total_est_time_accel,total_est_time_accel_percent,total_time_on_accel,total_est_time_no_taxes,time_by_compute,time_by_dram_bw,time_by_gti_bw,time_by_llc_bw,time_by_l3_bw,time_by_global_atomic,sum_latencies,memory_latencies,atomic_latencies,non_accel_time,does_fit,is_offloaded,is_offload_candidate,total_time_in_mpi,measured_total_time_in_mpi,total_time_in_ignored,measured_total_time_in_ignored,node_position,offload_head_loc,frac_offloaded,offload_tax,data_tax,data_tax_no_reuse,data_reuse_gain,data_reuse_gain_relative,launch_tax,invoke_tax,config_tax,transfer_tax,proxy_tax,proxy_region_time,global_size,global_work_items_count,global_work_size,local_size,local_work_items_count,local_work_size,work_dim,collapsed_with_head,simd_width,global_size_error,parallel_factor,parallel_threads,parallel_threads_per_eu,unroll_factor,est_instance_count,eu_active,eu_stalled,eu_idle,thread_occupancy,data_transferred_total,data_transferred_in_total,data_transferred_out_total,data_transferred_shared,data_transferred_in,data_transferred_out,data_transferred_inout,data_transferred_private,memory_objects_info,data_transferred_total_no_reuse,data_transferred_in_total_no_reuse,data_transferred_out_total_no_reuse,average_trip_count,call_count,trip_count_total,l3_bytes,l3_read_bytes,l3_write_bytes,l3_bytes_ck,l3_read_bytes_ck,l3_write_bytes_ck,l3_total_bw,l3_read_bw,l3_write_bw,l3_total_bw_util,l3_read_bw_util,l3_write_bw_util,l3_read_time,l3_write_time,gti_bytes,gti_read_bytes,gti_write_bytes,gti_bytes_ck,gti_read_bytes_ck,gti_write_bytes_ck,gti_total_bw,gti_read_bw,gti_write_bw,gti_total_bw_util,gti_read_bw_util,gti_write_bw_util,gti_read_time,gti_write_time,llc_bytes,llc_read_bytes,llc_write_bytes,llc_bytes_ck,llc_read_bytes_ck,llc_write_bytes_ck,llc_total_bw,llc_read_bw,llc_write_bw,llc_total_bw_util,llc_read_bw_util,llc_write_bw_util,llc_read_time,llc_write_time,dram_bytes,dram_write_bytes,dram_read_bytes,dram_bytes_ck,dram_write_bytes_ck,dram_read_bytes_ck,dram_total_bw,dram_read_bw,dram_write_bw,dram_total_bw_util,dram_read_bw_util,dram_write_bw_util,dram_read_time,dram_write_time,atomic_accesses,atomic_hw_writes_per_send,atomic_repetitions,atomic_throughput_per_sc,atomic_throughput_per_ck,fpu_util,flop_per_cycle,bytes_per_iter,bytes_rd_per_iter,bytes_wr_per_iter,float_ops_per_iter,compute,compute_with_memory,vector_compute,vector_compute_with_memory,compute_others_per_iter,noncompute_others_per_iter,ABS_per_iter,Add_per_iter,DIV_per_iter,FMA_per_iter,MAX_per_iter,MIN_per_iter,Mul_per_iter,RECCP_per_iter,SAD_per_iter,SCALE_per_iter,SIGN_per_iter,SQRT_per_iter,Sub_per_iter,Mov_per_iter,Send_per_iter,ABS_impact,Add_impact,DIV_impact,FMA_impact,MAX_impact,MIN_impact,Mul_impact,RECCP_impact,SAD_impact,SCALE_impact,SIGN_impact,SQRT_impact,Sub_impact,Mov_impact,Send_impact,ABS_count,Add_count,DIV_count,FMA_count,MAX_count,MIN_count,Mul_count,RECCP_count,SAD_count,SCALE_count,SIGN_count,SQRT_count,Sub_count,Mov_count,Send_count,float32_ops,float32_op,float32_ai,float64_ops,float64_op,float64_ai,int32_ops,int32_op,int32_ai,int64_ops,int64_op,int64_ai,diagnostics,system_module,module_type,no_execution_count,internal_error,measured_offload_elapsed_time,measured_total_time_in_hierarchy,measured_app_time
,2,18446744073709551611,1,0,,,,_start,_start,barrier_option_pricing,,13.579999999999998,13.579999999999998,13.579999999999998,100.0,13.579999999999998,13.579999999999998,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.579999999999998,13.579999999999998,13.579999999999998
,573,2,1,0,,,,__libc_start_main,__libc_start_main,libc.so.6,,13.579999999999998,13.579999999999998,13.579999999999998,100.0,13.579999999999998,13.579999999999998,0.0,,,,X86,Cannot be modelled: Not User Code,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.579999999999998,13.579999999999998,13.579999999999998
,571,573,1,0,,,,main,main,barrier_option_pricing,,13.579999999999998,13.579999999999998,13.579999999999998,100.0,13.579999999999998,13.579999999999998,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.579999999999998,13.579999999999998,13.579999999999998
,664,571,1,0,,,,"std::accumulate<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float>>>, float>","std::accumulate<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float>>>, float>",barrier_option_pricing,,0.0099998489,0.0099998489,0.0099998489,0.07363658983799706,13.579999999999998,0.0099998489,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0099998489,0.0099998489,13.579999999999998
,572,664,1,0,13,,,"[loop in std::accumulate<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float>>>, float>]","[loop in std::accumulate<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float>>>, float>]",barrier_option_pricing,,0.0099998489,0.0099998489,0.0099998489,0.07363658983799706,13.579999999999998,0.0099998489,0.0099998489,Parallel: Assumed,,,X86,"Total time is too small for
                reliable modelling. Use --loop-filter-threshold=0 to model such
                small offloads.",,,2,,,,,0.80036818294919,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,Head Node,"[loop in std::accumulate<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float>>>, float>]",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100001.0,1.0,100001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0099998489,0.0099998489,13.579999999999998
,575,571,1,0,,,,monteCarloSimulation,monteCarloSimulation,barrier_option_pricing,,13.570000151099997,13.570000151099997,13.570000151099997,99.92636341016198,13.579999999999998,13.570000151099997,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.570000151099997,13.570000151099997,13.579999999999998
272,576,575,1,0,8,,229,[loop in monteCarloSimulation],[loop in monteCarloSimulation],barrier_option_pricing,Offload Head,13.570000151099997,13.570000151099997,13.570000151099997,99.92636341016198,13.579999999999998,13.570000151099997,0.0,Parallel: Assumed,,,ACC,n/a - part of offload,2,2,1,2.9009276872893395,Compute,2.9009276872893395,8.892186150234652,,4.677814000865345,4.677814000865345,99.78668417261274,4.677814000865345,4.677808548138072,0.04515303913807272,8.376895833333334e-06,5.711519886363637e-06,5.711519886363637e-06,0.0100543025,,0.00268111,0.00268111,,4.629974398999999,Yes,Yes,Yes,0.0,0.0,0.0,0.0,Head Node,[loop in monteCarloSimulation],100.0,5.452727272727273e-06,0.0,0.0,,,5.452727272727273e-06,5e-06,0.0,4.527272727272727e-07,0.0,,100000,100000,100000,32,32,32,1,,32,,14336,448,7,1,1,94.39498758039782,5.60501241960217,0.0,99.64923469387756,421888,12288,409600,413696,4096,401408,16384,,,,,,100000.0,1.0,100000.0,2831291584.0,1896386752.0,934904832.0,53.80886848369484,36.04094537957318,17.767923104121664,59189755332.06433,39645039917.530495,19544715414.53383,0.210190892514433,0.14078494288895774,0.06940594962547525,0.006734327954545455,0.0033199745454545455,402091.00000000006,402091.00000000006,0.0,0.007641763871918232,0.007641763871918232,0.0,8405940.259110056,8405940.259110056,0.0,5.970128024936119e-05,0.00011940256049872238,0.0,5.711519886363637e-06,0.0,402091.00000000006,402091.00000000006,0.0,0.007641763871918232,0.007641763871918232,0.0,8405940.259110056,8405940.259110056,0.0,5.970128024936119e-05,0.00011940256049872238,0.0,5.711519886363637e-06,0.0,402091.0,0.0,402091.0,0.007641763871918231,0.0,0.007641763871918231,8405940.259110054,8405940.259110054,0.0,0.00017512375539812614,0.00017512375539812614,0.0,8.376895833333334e-06,0.0,,,,,,64.52428920792457,58.65844473447688,,,,,,,,,,,0,6394.77771,0,0,0,0,9036.87704,0,0,0,0,1226.82932,9372.482619999999,0,87296.58469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30785961609.75496,1472620279.0,3662.4054728904653,12438267403.536636,594973938.0,1479.6997147411905,21300060194.632977,1018870256.0,2533.929523416341,0.0,0,0.0,Fallback implemented for dependent_iterations_distance; Calls from System Module are present,4.629974398999999,,,,13.570000151099997,13.570000151099997,13.579999999999998
272,6,576,1,0,7,,229,[loop in monteCarloSimulation],[loop in monteCarloSimulation],barrier_option_pricing,Child Loop,13.570000151099997,13.570000151099997,13.570000151099997,99.92636341016198,13.579999999999998,13.570000151099997,0.8599824662000001,Parallel: Assumed,,,ACC,n/a - part of offload,2,2,,,,,,,,,,13.570000151099997,,0.045147224570000005,8.533333333333333e-08,5.8181818181818275e-08,5.8181818181818275e-08,0.010018908636363637,,,,,4.629974398999999,Yes,Yes,Yes,0.0,0.0,0.0,0.0,Child,[loop in monteCarloSimulation],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.88621,100000.0,81788621.0,2821324672.0,1890314752.0,931009920.0,53.61944671589554,35.92554665085185,17.693900065043692,58981391387.4851,39518101315.937035,19463290071.54806,0.209450963733967,0.14033416660489006,0.06911679712907692,0.006712765454545455,0.0033061431818181817,4096.000000000006,4096.000000000006,0.0,7.78447287290119e-05,7.78447287290119e-05,0.0,85629.2016019131,85629.2016019131,0.0,6.081619431954055e-07,1.216323886390811e-06,0.0,5.8181818181818275e-08,0.0,4096.000000000006,4096.000000000006,0.0,7.78447287290119e-05,7.78447287290119e-05,0.0,85629.2016019131,85629.2016019131,0.0,6.081619431954055e-07,1.216323886390811e-06,0.0,5.8181818181818275e-08,0.0,4095.9999999999995,0.0,4095.9999999999995,7.784472872901177e-05,0.0,7.784472872901177e-05,85629.20160191295,85629.20160191295,0.0,1.7839417000398534e-06,1.7839417000398534e-06,0.0,8.533333333333333e-08,0.0,,,,,,64.51669467542958,58.65154061402688,,,,,,,,,,,0,6393.77771,0,0,0,0,9034.87704,0,0,0,0,1226.82932,9371.849839999999,0,87277.42079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30782548190.619423,1472457001.0,3661.99940063319,12436176846.856903,594873938.0,1479.4510148200284,21297969637.953243,1018770256.0,2533.680823495179,0.0,0,0.0,Fallback implemented for dependent_iterations_distance; Calls from System Module are present,4.629974398999999,,,,13.570000151099997,13.570000151099997,13.579999999999998
272,84,6,1,0,,,229,[loop in monteCarloSimulation],func@0x401720,barrier_option_pricing,Child Function,0.0500005744,0.0500005744,0.0500005744,0.3681927422680413,13.579999999999998,0.0500005744,0.0500005744,,,,ACC,n/a - part of offload,2,2,,,,,,,,,,0.0500005744,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,Yes,Yes,Yes,0.0,0.0,0.0,0.0,Child,[loop in monteCarloSimulation],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,81788621.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,Bottom-up static instruction mix was used; Not a Loop,0.0,,,,0.0500005744,0.0500005744,13.579999999999998
272,457,6,1,0,,,229,[loop in monteCarloSimulation],sqrt,libm.so.6,Child Function,0.09000877909999999,0.09000877909999999,0.09000877909999999,0.6628039698085421,13.579999999999998,0.09000877909999999,0.09000877909999999,,,,ACC,n/a - part of offload,2,2,,,,,,,,,,0.09000877909999999,,0.008743947117818182,0.0,0.0,0.0,0.0,,,,,0.0,Yes,Yes,Yes,0.0,0.0,0.0,0.0,Child,[loop in monteCarloSimulation],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,81788621.0,None,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.7098374795779914,1.5543977087072647,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,817.88621,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,1709837479.5779912,81788621.0,203.4082359465892,0.0,0,0.0,0.0,0,0.0,Detailed static instruction mix was used; Not a Loop; Replaced with GPU math function,0.0,,,,0.09000877909999999,0.09000877909999999,13.579999999999998
