region_id,estimation_id,overriden_name,overriden_value,specified_by,original_value
48,0,dependent_iterations_distance,inf,assumed,inf
48,0,has_dependency,False,assumed,True
48,0,dependency_type,Parallel: Assumed,assumed,
48,0,dependency_key,parallel_assumed,assumed,
220,0,dependent_iterations_distance,inf,assumed,inf
220,0,has_dependency,False,assumed,True
220,0,dependency_type,Parallel: Assumed,assumed,
220,0,dependency_key,parallel_assumed,assumed,
268,0,dependent_iterations_distance,inf,assumed,inf
268,0,has_dependency,False,assumed,True
268,0,dependency_type,Parallel: Assumed,assumed,
268,0,dependency_key,parallel_assumed,assumed,
