region_id,estimation_id,data_type,operations_per_second,operations_count,arithmetic_intensity
48,0,int32,75000000.0,14.0,
48,0,int64,0.0,0,
48,0,float32,0.0,0,
48,0,float64,0.0,0,
49,0,int32,75000000.0,14.0,
49,0,int64,0.0,0,
49,0,float32,0.0,0,
49,0,float64,0.0,0,
50,0,int32,64285714.28571428,12.0,
50,0,int64,0.0,0,
50,0,float32,0.0,0,
50,0,float64,0.0,0,
220,0,int32,22119317694.74634,200000000.0,0.5004471194744233
220,0,int64,0.0,0,0.0
220,0,float32,11059658847.37317,100000000.0,0.25022355973721166
220,0,float64,0.0,0,0.0
268,0,int32,22118587084.31802,200000000.0,0.5004291680545235
268,0,int64,0.0,0,0.0
268,0,float32,11059293542.15901,100000000.0,0.25021458402726177
268,0,float64,0.0,0,0.0
